"company","category","size","title","level","city","url","updated"
"Scopio Labs","Health","m","Operations Project Manager (maternity leave replacement)","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/operations-project-manager-maternity-leave-replacement-at-scopio-labs-4079095557?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-15"
"Arad","Sustainable Technology","m","Junior Projects Coordinator","Manager","יוקנעם עילית","https://il.linkedin.com/jobs/view/junior-projects-coordinator-at-arad-technologies-4126160629?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-15"
"DRS RADA Technologies","Aerospace","l","Project System Engineer","Manager","נתניה","https://il.linkedin.com/jobs/view/project-system-engineer-at-drs-rada-technologies-4126156805?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-15"
"Linnovate","Productivity","s","Project Manager","Manager","בני ברק","https://il.linkedin.com/jobs/view/project-manager-at-linnovate-technologies-4123111380?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-14"
"AT&T","Telecommunications","xl","Senior R&D Project Manager","Manager","קריית שדה התעופה","https://il.linkedin.com/jobs/view/senior-r-d-project-manager-at-at-t-israel-r-d-center-4124117943?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-14"
"Mobileye","Automotive","l","Senior Validation Project Manager- Reliability Lab","Manager","ירושלים","https://il.linkedin.com/jobs/view/senior-validation-project-manager-reliability-lab-at-mobileye-4062725411?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-14"
"Elbit Systems","Aerospace","l","Technical Manager","Manager","חיפה","https://il.linkedin.com/jobs/view/technical-manager-at-elbit-systems-israel-4122622468?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-14"
"VAST Data","Cloud Computing","l","R&D Project Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/vastdata/43.001/rd-project-manager/E2.E4A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-13"
"Nvidia","AI/ML","l","Senior Project Manager, ICPE","Manager","יקנעם עילית","https://il.linkedin.com/jobs/view/senior-project-manager-icpe-at-nvidia-4106312017?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-13"
"Maytronics","Productivity","l","PMO","Manager","יזרעאל","https://il.linkedin.com/jobs/view/pmo-at-maytronics-4122225785?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-12"
"GeoX GIS Innovations","AI/ML","s","Project Manager","Manager","גבעתיים","https://il.linkedin.com/jobs/view/project-manager-at-geox-innovations-4106834620?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-12"
"Carl Zeiss","Health","xl","Project Manager","Manager","קיסריה","https://il.linkedin.com/jobs/view/project-manager-at-zeiss-group-4122004807?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-10"
"Check Point Software Technologies","Cybersecurity","l","Research and Development Project Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/research-and-development-project-manager-at-check-point-software-4118640548?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-09"
"KLA","Robotics & Automation","l","Project Manager (Construction)","Manager","מגדל העמק","https://il.linkedin.com/jobs/view/project-manager-construction-at-kla-4118623039?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-09"
"Nvidia","AI/ML","l","Technical Project Lead, SPE","Manager","יקנעם עילית","https://il.linkedin.com/jobs/view/technical-project-lead-spe-at-nvidia-4120673035?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-09"
"AutoFleet","Automotive","m","R&D Project Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/r-d-project-manager-at-autofleet-4119755817?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-08"
"BIRD Aerosystems","Aerospace","m","PMO","Manager","הרצליה","https://www.comeet.com/jobs/birdaero/97.006/pmo/2A.F45?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-01-07"
"XTEND","Aerospace","m","Project manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/xtend/85.00A/project-manager/9B.D46?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-11-25"
"D-Fend Solutions","Aerospace","m","RMA and Delivery Projects Manager","Manager","רעננה","https://jobs.lever.co/d-fendsolutions/dee68912-5025-4c30-8522-3fd94931d1d3?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
"Insightec","Health","l","Manufacturing Engineering Projects Manager","Manager","טירת כרמל","https://insightec.com/job-description?gh_jid=7813786002&utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
"JFrog","Cloud Computing","l","Operation Project Manager - Temporary Position","Manager","נתניה","https://join.jfrog.com/job/?job=6501615?gh_jid=6501615&utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
"SimilarWeb","Productivity","l","Senior MIS Project Manager","Manager","גבעתיים","http://www.similarweb.com/corp/jobs/?gh_jid=6460904&utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
"Taboola","AdTech","l","HubSpot Project Manager","Manager","רמת גן","https://www.taboola.com/careers/job/6560416?gh_jid=6560416&utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply",""
